method,method_label,scenario_name,scenario_label,scenario_category,active_agent_count,min_agents,step_churn_prob,inactive_noise_std,seed_count,eval_episodes_per_seed,reward_mean,reward_std,p2p_mean,p2p_std,grid_buy_mean,grid_buy_std,grid_sell_mean,grid_sell_std,grid_trade_mean,grid_trade_std,carbon_mean,carbon_std,n_agents_mean,n_agents_std,attn_leakage_per_call,attn_leakage_per_call_std,attn_entropy_mean,attn_entropy_std,inactive_action_abs_mean,inactive_action_abs_std
without_structured_mask,w/o Structured Mask,scale_04,4 active agents,scale_sweep,4,4,0.0,0.0,1,20,94.02181368681292,0.0,0.13827792837921646,0.0,2.768196900058931,0.0,0.22830180374260606,0.0,2.996498703801536,0.0,1.613900025943377,0.0,4.0,0.0,nan,nan,2.3857562442620597,0.0,0.7678428350350796,0.0
without_structured_mask,w/o Structured Mask,scale_05,5 active agents,scale_sweep,5,5,0.0,0.0,1,20,93.7317698792865,0.0,0.16637039686557323,0.0,2.832212579595251,0.0,0.2051919677632576,0.0,3.0374045473585083,0.0,1.6418045902310847,0.0,5.0,0.0,nan,nan,2.3849907961048062,0.0,0.7712385240130955,0.0
without_structured_mask,w/o Structured Mask,scale_06,6 active agents,scale_sweep,6,6,0.0,0.0,1,20,92.72790814169372,0.0,0.16749195374444675,0.0,2.911055410221703,0.0,0.2563828022990562,0.0,3.16743821252076,0.0,1.7126357753003034,0.0,6.0,0.0,nan,nan,2.3951163570167586,0.0,0.7599232548916781,0.0
without_structured_mask,w/o Structured Mask,scale_07,7 active agents,scale_sweep,7,7,0.0,0.0,1,20,92.48486898193758,0.0,0.16769017303148107,0.0,2.6878341138551325,0.0,0.23021569376290127,0.0,2.9180498076180337,0.0,1.5823373396629692,0.0,7.0,0.0,nan,nan,2.388129347257438,0.0,0.7629715169685475,0.0
without_structured_mask,w/o Structured Mask,scale_08,8 active agents,scale_sweep,8,8,0.0,0.0,1,20,93.88834666113057,0.0,0.14216841075192632,0.0,2.8565551346956743,0.0,0.19667226749375655,0.0,3.053227402189431,0.0,1.665481801766846,0.0,8.0,0.0,nan,nan,2.3874927836974136,0.0,0.7694005708501797,0.0
without_structured_mask,w/o Structured Mask,scale_09,9 active agents,scale_sweep,9,9,0.0,0.0,1,20,93.0394895841678,0.0,0.17460477886420506,0.0,2.7039796009579655,0.0,0.2083785910225346,0.0,2.9123581919804993,0.0,1.5916155599078814,0.0,9.0,0.0,nan,nan,2.3904428853404003,0.0,0.7658742986658894,0.0
without_structured_mask,w/o Structured Mask,scale_10,10 active agents,scale_sweep,10,10,0.0,0.0,1,20,94.90103550230462,0.0,0.13374988810339034,0.0,2.836993480110446,0.0,0.20996065182510945,0.0,3.046954131935556,0.0,1.6527733673670788,0.0,10.0,0.0,nan,nan,2.3924678258842134,0.0,0.7630149478382534,0.0
without_structured_mask,w/o Structured Mask,scale_11,11 active agents,scale_sweep,11,11,0.0,0.0,1,20,93.03987031926711,0.0,0.14852271575074538,0.0,2.9269201229819366,0.0,0.19713444152621012,0.0,3.124054564508147,0.0,1.7324876885177591,0.0,11.0,0.0,nan,nan,2.38372317016369,0.0,0.7690736391390973,0.0
without_structured_mask,w/o Structured Mask,scale_12,12 active agents,scale_sweep,12,12,0.0,0.0,1,20,94.10771364718676,0.0,0.1804848166635123,0.0,2.699080643539136,0.0,0.23801970659525362,0.0,2.9371003501343895,0.0,1.5887208135276663,0.0,12.0,0.0,nan,nan,2.391649659739329,0.0,0.7672860167644642,0.0
without_structured_mask,w/o Structured Mask,scale_13,13 active agents,scale_sweep,13,13,0.0,0.0,1,20,93.77197737296423,0.0,0.19679664544805672,0.0,2.722598598129726,0.0,0.22144839643385478,0.0,2.944046994563581,0.0,1.5948909019740427,0.0,13.0,0.0,nan,nan,2.3887693026067454,0.0,0.7700274279694153,0.0
without_structured_mask,w/o Structured Mask,scale_14,14 active agents,scale_sweep,14,14,0.0,0.0,1,20,94.32119971315065,0.0,0.13761828762962805,0.0,2.9087453001798123,0.0,0.2027843166617907,0.0,3.1115296168416027,0.0,1.7044798050961627,0.0,14.0,0.0,nan,nan,2.3859077707421585,0.0,0.7681032365394963,0.0
without_structured_mask,w/o Structured Mask,scale_15,15 active agents,scale_sweep,15,15,0.0,0.0,1,20,93.03904582957428,0.0,0.16879264578658285,0.0,2.8022131355794886,0.0,0.20819085171530483,0.0,3.0104039872947945,0.0,1.6554513302935132,0.0,15.0,0.0,nan,nan,2.3842547030111807,0.0,0.7690463339840924,0.0
without_structured_mask,w/o Structured Mask,scale_16,16 active agents,scale_sweep,16,16,0.0,0.0,1,20,93.36364297072093,0.0,0.14035376281262366,0.0,2.6816996303514875,0.0,0.1951270050138055,0.0,2.8768266353652923,0.0,1.5763491225543251,0.0,16.0,0.0,nan,nan,2.3883388785960897,0.0,0.770283269692981,0.0
without_structured_mask,w/o Structured Mask,scale_17,17 active agents,scale_sweep,17,17,0.0,0.0,1,20,91.93887997468313,0.0,0.20737890515095891,0.0,2.8145249206652756,0.0,0.2620605673647753,0.0,3.0765854880300507,0.0,1.6564619058578383,0.0,17.0,0.0,nan,nan,2.3862239548946667,0.0,0.7606796032343155,0.0
without_structured_mask,w/o Structured Mask,scale_18,18 active agents,scale_sweep,18,18,0.0,0.0,1,20,92.8856912612915,0.0,0.17821306589559532,0.0,2.7985067406364537,0.0,0.22337351594137997,0.0,3.021880256577834,0.0,1.655179702440524,0.0,18.0,0.0,nan,nan,2.388412220535871,0.0,0.7603798739336155,0.0
without_structured_mask,w/o Structured Mask,scale_19,19 active agents,scale_sweep,19,19,0.0,0.0,1,20,93.71028156280519,0.0,0.15749664947014036,0.0,2.869478996242525,0.0,0.20621808264704655,0.0,3.0756970788895712,0.0,1.6855696122567096,0.0,19.0,0.0,nan,nan,2.387720838417121,0.0,0.7735856964130594,0.0
without_structured_mask,w/o Structured Mask,scale_20,20 active agents,scale_sweep,20,20,0.0,0.0,1,20,92.74978848199049,0.0,0.16692250633392997,0.0,2.8297397589622686,0.0,0.22613350709529495,0.0,3.055873266057564,0.0,1.679310714098154,0.0,20.0,0.0,nan,nan,2.3842721837791587,0.0,0.7680496380064222,0.0
without_structured_mask,w/o Structured Mask,scale_21,21 active agents,scale_sweep,21,21,0.0,0.0,1,20,93.63134442965188,0.0,0.18372008071717824,0.0,2.773593950121824,0.0,0.2188275531108192,0.0,2.9924215032326433,0.0,1.6284126718628156,0.0,21.0,0.0,nan,nan,2.3875496806587027,0.0,0.7709888535517233,0.0
without_structured_mask,w/o Structured Mask,scale_22,22 active agents,scale_sweep,22,22,0.0,0.0,1,20,93.56331712007523,0.0,0.17930010670871438,0.0,2.753761272982165,0.0,0.20895428441054706,0.0,2.962715557392712,0.0,1.619837914131676,0.0,22.0,0.0,nan,nan,2.389945502965991,0.0,0.7662174821727805,0.0
without_structured_mask,w/o Structured Mask,scale_23,23 active agents,scale_sweep,23,23,0.0,0.0,1,20,92.47795720497767,0.0,0.15368560320868857,0.0,2.853328185355744,0.0,0.20815761345332212,0.0,3.0614857988090654,0.0,1.688287100947452,0.0,23.0,0.0,nan,nan,2.3821608538143946,0.0,0.7679300866429768,0.0
without_structured_mask,w/o Structured Mask,scale_24,24 active agents,scale_sweep,24,24,0.0,0.0,1,20,93.08879296779634,0.0,0.1629941088061336,0.0,2.820950745032773,0.0,0.2254741380934441,0.0,3.0464248831262166,0.0,1.6713292533466901,0.0,24.0,0.0,nan,nan,2.3885111941258765,0.0,0.7680046306716071,0.0
without_structured_mask,w/o Structured Mask,scale_25,25 active agents,scale_sweep,25,25,0.0,0.0,1,20,91.46346342563628,0.0,0.1416044260120394,0.0,2.7703280720511163,0.0,0.22434619235207814,0.0,2.994674264403195,0.0,1.6631344582521201,0.0,25.0,0.0,nan,nan,2.387453642381671,0.0,0.7544810321595934,0.0
without_structured_mask,w/o Structured Mask,scale_26,26 active agents,scale_sweep,26,26,0.0,0.0,1,20,93.04625685214997,0.0,0.16528623221297417,0.0,2.8060187738502935,0.0,0.20587122123876397,0.0,3.0118899950890574,0.0,1.657275816656682,0.0,26.0,0.0,nan,nan,2.3851044992727988,0.0,0.7694704663422373,0.0
without_structured_mask,w/o Structured Mask,scale_27,27 active agents,scale_sweep,27,27,0.0,0.0,1,20,93.66413870255153,0.0,0.16278710776714023,0.0,2.7981956622758934,0.0,0.21332758219169343,0.0,3.011523244467587,0.0,1.6552096211032545,0.0,27.0,0.0,nan,nan,2.390892444184569,0.0,0.7709092218014929,0.0
without_structured_mask,w/o Structured Mask,scale_28,28 active agents,scale_sweep,28,28,0.0,0.0,1,20,93.51827301581702,0.0,0.17830034053483662,0.0,2.8109628126032087,0.0,0.2283684245837776,0.0,3.0393312371869863,0.0,1.6423598098192642,0.0,28.0,0.0,nan,nan,2.387211878251671,0.0,0.7600957807567384,0.0
without_structured_mask,w/o Structured Mask,scale_29,29 active agents,scale_sweep,29,29,0.0,0.0,1,20,91.30124525229135,0.0,0.19497211578235335,0.0,2.8421466632601513,0.0,0.24967155738051558,0.0,3.091818220640667,0.0,1.6840051230217856,0.0,29.0,0.0,nan,nan,2.383761629555883,0.0,0.7579429974572526,0.0
without_structured_mask,w/o Structured Mask,scale_30,30 active agents,scale_sweep,30,30,0.0,0.0,1,20,91.87277852694193,0.0,0.1870052593229377,0.0,2.8129054681227865,0.0,0.22398447378284234,0.0,3.036889941905629,0.0,1.6745595481744453,0.0,30.0,0.0,nan,nan,2.385118895036275,0.0,nan,nan
